old                                      new
00f8fa46c3e49a734d15bd76dd5ece0eee98dec0 7d702ac6a3ffde3233ed9b82bd498cb1b3a5f0aa
027c5cd926657eb1a11f298604f41dfdf5e62050 b8cf89ec0fb73b6dfe17a4fbf6c5f5f1d89a3c27
02e96199193b6e0b6636b535a3c85cf2475b4d64 63e9a0cb517aa6f781a22e748af5d6981a69a521
032b8889e3da043c3b4b0fac57e5b58f6710cf6f 26ed22f1ab318e431d7e7b4d0c858bc4d56d5c24
039b5e9623c4d4de67c60f01466ea474f50da0f2 b10213e4669ff7c3fc3eb990996c98c3eb5ce3ce
05447b7567eb86fc769643949d90e5cdf82c74d2 c5159246d713cc2075a20eeb865f4636ca57b9b5
05924b9192a355fed6d8cd9cba935c19b7b65a56 d317cf030497d8687606b7501f2955229252831c
05ab1fd1bf72a14d860bcd607fc84fcc374ebf68 7425bcaac6e9acda383ba89954f19f83a6453d3c
05f6867cd9f09e699df93785b576e3c0adb0cf62 ffce914b1c408f0b6093a1668e0ec2ac0587b3ca
08257d8bcd0de1bef3bebe4958563efa43376a0a 77f6a756266b6d05c84505435fe2ff868066ae46
0b239b09b49ba4d5b58f812fccf736fc6f14ac6c c99390d2cc09789e51630fc391d2976a4b3ddfd5
0dd3a613d422b95ce7930460fa97637762b2ccfd f46a5d53f5babaf79c839a138baf9d4f205eb826
0ed7bb9d511bf365465b05760d5e07ecffc4a2b8 c46fcb46c3c392bd827057463c003af16b1d93b9
0fbc1679590eb6eb7a67f106fce0fd30c184fba7 2ce22d96e462fec5a257935a3ab0d8e21a93aceb
14377c60364aa6a1ac1632fdc85b12115136bcda 676a7bad772f776edd8b155217872ccb78f1ba41
1444b69ecb0e30ab84fc8f7d4c45e5fc3dad217c 8b4020885f7e0a4620619dd9e05c66c9572b42c6
1474ebba3d8f013505abdb9a7eb43011aba6173e 046465cabd47dbfe9539bb1f4ea0bf9c0cc3728c
152de371f4ac09ccefec22f5c7d444528c7c6e8f 73eb7a763d776d9c912195109773a4fa92cf1424
157cc52a7c32c98ef004c1fac178303602c8d046 a1ccc29f13374fd3064b45ecf558d11356f76598
163603bb943f4fef443ab0856f971776c5229bfb 27dd635aead51e064283fbcfdf07019d32412264
169b1268f3c3f90ceee7fdb52783302baab6cdb3 595a6a228af4a9a0c97e782d763e07769a665723
175e472869c34d690e9b8480292d4ae49651a0ed 370fa1772834fa0a0387e26e5ab604b7c7770f8f
18a1f7d56d9675da0afd6eace6758fab17055263 d5efb01d1e26e408b7f445476a738ff276dfa80c
1adf842f183bdbacc9347e73b967506d85c8d30a 17d5716372d3799c2dfc1d095c7c0b2981eb89b9
1ae860bc581633bb08d5c62b1ed216adac71567d 2d8bf4b452c42584a98af9680ec5d0090a9b8286
1b4e2a92072e8f3c0fd9703e5aaf1657bd78f65c 6e45f146f1aef72207a064ef275d7862147791d4
1bcdca51d805fbb8a194fcf8224f8db40861c786 213620dd276a17015de76060778ed2deab7cd180
1ce6d5eab453647c038894cb635be87b5b67840b 244e970828dfd397fab792b4846aafa49ee68a43
1d992a8b37c8a3835682d1cc18bd2abd84f546b1 9cce2f83a8c6d3b5df54d76bb0c1561ef10ae6e5
1e306d2ba07a4be9e03008a3618b6fa278a023a0 49c196a50a0ddf7893d2f533c76df3530e7f39be
201e2a4227b9ac80fe0adf42abf31bf36d8d67b1 a5dc5441416fbc9caecfa4165cb20af10e32c696
20a611e0f9ff2d313bd7e6f0354327aededc243a 94084cc5788471521e0958720bfae52fed97176c
212786f5862b9325a9ac8a1ebecef4f4b3a88261 6d437914b788c699e6a34b66e9f759b6f1cfcfcd
2188262e1b38de7966172b0bb9f31382e81ed702 7f4f1c441142d885fcda8b5f8e04189ee0a776de
23fe1d0206706ead5d81eff15b8bac373ab526f5 cc61fc1f65b8dd1f1c7b57a72eca7873bb7ed545
262aea47634dda6cc64cf1736bd13fe4c4e2dc9a 4cb7c87c5249038ec5046404175c55bdf02108db
2689385ebae74e30cbaba3b9519b07a4bcd26db9 0712b0cb3542c21a5357757a8ae97d7fd4ab1922
26ae74d64b847a9ed2da9f66bad3f9e1614e8735 28bac8cd55ff3059032845297d1bdecad9e2b1f7
27bf59b8666b7b53382fe3f5f46683e40d9bd1e8 912af4a2dc4b07cfc9d23c1267b331c5d5dd68e8
27e774fd1527cbdc277981532bd2a36166c84f4d 279c5eda2bd1c64694513e985e652111c22805d6
2811ba6ed134a8a8ae4722014c21fe6f10fd9d7e b8076c6967ebb6d73a6480cf2dd20728c18c34c5
2817a809da856d23a111ffd785c543e9430075ba 7a4e9aa0903aebcdd04c674410e61d368bb5f70f
28998aede252f9c8765e6d5d43a2e3ed94673c0c 3a9304542d2ae27534a5fd0cebfe73f1c814c1f4
28b473832227cd9b7ecee57032cf92fb35dd1d57 232857828d606e20fd41a019c1631ee902af93a1
28b96fbaa4ed0c53d5565c8eb2644d9936d2cdc5 b0c7bcbbbc2abb8dd89ef445d28d5721a1c96a64
29f715068b99ee117052bc9e3c87a3298de9afbf 243f79217ba9df0bffc90569bb73bd16d3a7d30b
2ad0d523a1ce0f5c01616a628654dadbfc0fcc06 152fee61fa5c734d29688398daf29d696623896e
2be85ba7d69595f57998a84fe1e998f46c6f0b2e 88f411ccbbcf5267524317e60af685058d77e80c
2d057ef0d5e0e32cf2b0c101d457162ed9df9f89 9200aef7d5aacadee788bcd0a3d11eb550e4adae
2d48a0215912da4785cf1e62c0fdac80f646ed58 2d48a0215912da4785cf1e62c0fdac80f646ed58
2d7807bb4cf01d690906066629f97e83cc723320 48a487f44c6e49922c751c3830849c4ca4f88805
2dba1e6564aaaa6e61529c4d76450a1d5511bb95 18e1082402d11ac0d6996b7a1b3d106811142a1a
2e063410ef06e7d86cdfd05fdad4922632cc86b8 66a57e861fca2951d7e09ffcbcb0559d0e02c2f2
2e0a04bf1abdf401534f2ba427b4c981c404a4ce 48465542118eff485382f74a4cc6ffc2247524d5
2ecd4708b35fdd21aee4a721f4477628130c34c6 8b7ab44265420fd43852026291647f2b6ec139d7
2f0c0784529a30d3b483cad1b90cd964ca477db1 c8fb44f24eff35688fd4bf43f16d3a2e7b597df2
2f8353f839ec94d41621d47940215c6a926ec5b8 05d2762d65c8ffbcce357ba10fe3908b04ca1d35
30821c56c8db5e9d1c97e467f403535df60b556e 751553bfcf72b8a8cbec7bb714322348647f6f93
315008b09343e65fde55cb2c3c5bdd5324d114fe 8480f9f2d7e6fbd6d16c9be7f4779e0f136adde7
321f7787a17de723a7cee0cbd6bb0a139e3f89fe 29fd04f407c1339a34330bc739c373dfc138a309
32c6306aef75962ec6858cd91436640301a60c68 4f77b189cf16712b81e8e6182a82e05757646527
33865c5f961eef042abde93fb7fc0e72c829ef1c f5a7aff48b6b9a91fe5b29b84a458239782b3c67
33d06562b1c0a33412176c861db200ff9f47bbdb abe267b368c87c3b8541184580a60f776a18a135
340f794f8e14a5fac3f27aaee77f8f43914cfdb2 7486d63fee283ede6c6dc5945b5c26e66c1d99e3
36adbd5a0788ff49281214edc3dd813ea046e45b 3f29e7bd66b80a0d284939f2e794bb6411729af3
38295aa776d780e3f4ad813ba2a518354ff6136c f81ebaff03f5087567f8140a72940e7a51c5217c
390abc8904f0c9da7b09767c32ad77eb5f5211b1 cf8678b6a573390bd8cd3225bfdb459f6a0603e1
3bd965daaae526b0609f3017dc1258c9061ad890 e8244a845d93f75d9976277fff987dbf4758de74
3ca3496e781a46923e0eade1f9d06d72ad1e1d40 666a35c8a929a44829b7370141848d6a84f18942
3cb0e00e6434e6691866ac9d487438d6600eba15 9834d2f16efb9cd0481401c91f45fdfdfd52e15a
3ccbfc6eebc2047370e51cfa036f20328e3f0b64 0bb49645d75b8314234b4dc7ba65b00355912468
3d778ab2c8551d3a0315cc275376f700e2961487 97b7ce2d0cab34b1e556df8f36b8f333b999c413
3edd7f1319ef4a2c979e6f7c39d420c30bba028d 3e83c8fc479160ed55026b2d5ce8a8b5d0066e2b
4031d15f1b677488acaca9430f4f85fa0bd8e5c8 08075097d0e3cfa814458de5c061dee1d70be537
407dcf2c54f3704bdf289475f3ef04755089891c 2678cab9e135095ef304fdff450ab07b8c5b301c
42cf2bb2909a772f1df886e9c73861b91b53b154 fea6f15ade6b951c2f745a17e8b95588eff1117f
430b1e7325ad1c430fe10dcb5d4d2bc8c5093741 1497603cd07adc3953c32b2c97da2e3a1a73036b
44f7f9b4dad20ac7c985ca35d1a14351fcbbd74a a400b1a59cdbb937b864555475c409d55c4e6a13
4682158291383fae5dadb20d43110ab5767e22bd 5325df96a352487fce71a80361121a77b1df4a6e
4689619828962229ee8bec254fed9a3286e7a2e6 7d3b006b7b9d5aa406d6663d6fc128302bec29c3
47ace36a0c387d03b226bac341551df2d0f17694 083be6313b5f08cece90eebf437cc427e94b3159
47f9535e67bf62b0f9fde2f016206d9148bacb47 47f9535e67bf62b0f9fde2f016206d9148bacb47
48fd24e86fc2e9389ca62268c1f6369e619264d6 56f90c1b5311b405294a9517b3db395e02aa1e15
4aea11e07e25b0b6c06f0b916da18f3f15d73803 0f99108d7235f8b1f3a01aec43107e7ce24fdf95
4b54d95af1be8911225de3a2383121933eb60b1c 446dafdba1f77ef4b7e8695a242ea9bd2d0e163d
4d914e0fc72155fdd6ed31f70d7e78affe40e4f3 b825d07993344d03a643a99d9a904296aeae6fe6
4daf35550800bc94f5001d8c69b7ff7106b8e3aa 4daf35550800bc94f5001d8c69b7ff7106b8e3aa
4ed8f3bb88696b8e2c4fe167fa711465fc2359e7 768dd7cf892c775e8bdda59a24068970df867b77
4fe7cf824ea3d2eda84beb9a5f91a4786fdfe096 aba685f56915a9e0886c286941524a3bb8e431c6
512ddff728e79819b7f7820f75a1bbe468ff024a cf084ce3ec56102771157ee6839277bec6329aa7
515d225eb311cfeaf5f3ef4075cf70f7d62751ed 16517237aff01bf0513343b7dc572c6f2f445a85
527c99ac8742ce9e0b70f195678c7636652ebbb0 17dcda69798dea0c62751d198700c3e9b672e543
52e650eac14e6e9042ab48504a533dddca5b394a 7ccbbcbb8ee0e1896400449fd331b9ca83ca46ea
5495708f53767a29ab097ab72ef8ac6b60923cdf 1a01e1a2b9b03e489850b592bcf493dfad88d76b
558b0acce5dcd08bc4957e909c632ccd2920bcd6 2e3700f922420022d9160a435fa8f4ec610b5e04
585903058fee47967813c56b8ce2b500c8602181 d9e8c6af3f192e4a67fc93e45f3e34e0450e7ac3
5895ad5b91c26285c145730c423deb12fb8d7e8a 7b503950e1b2da782d97bd8adff5412c150f1acb
58f21fb491edd0b14907292bcb410dd749a624ce d5194a92329ed2a56de50435949c2072ba8d705c
58f3e7d1abaccb97ec959cd02a72effb219b2bec 9de97afc839e7ef248f280a2768a91d18e4ea223
5a8141567e37de9a940c3e49d3ea56f94b0b0ff9 3d5a4b85d2c80ae3ab557c2f4da3455dfa5e4a06
5b1a24d078b861a67a76bf9849cf293ebc50d34d 361584087cc51cc99e8acf53dd912d66086f4ea5
5c56b0de1390f55df780f76ea6d8dfcaa485ed0d 5c56b0de1390f55df780f76ea6d8dfcaa485ed0d
5cf069fa68b191d9f057ec890b3bfb07c0211beb 5cf069fa68b191d9f057ec890b3bfb07c0211beb
5d801dff7e84591f462cb463fa0b5954798faaeb c6244ddda716cb0a32e197ff7da71f14339c5a91
5e0143e5176b2f925a8defe95dc0220215654ca7 1d17c8b6eeb692b251cbc180ff568d82141d3500
60186cfa19a7d7ad11f95a66768725dff74a304b 60186cfa19a7d7ad11f95a66768725dff74a304b
6027d96b9c8a78b93d23a14beeb740500e979817 2773bb1f1e2c48b7206886abdd979dc88cb5fb2c
603743be9f16c1d97b4582f66d0766bedf5b359e 92ca47b0a5ebbb6752436597ea9471f3b03de080
616001f248ace1cdf3c5b6c46718e8e620fadbdf be3fb7fcaba7a42d39bce1e95e422c0aa3fec73e
618e259b3a5cea0f5cd24d709aee106f7b81dc06 1ed3ddd93e82e39a902c005dc535d861961328b8
62a00c4e96f189f8c8e56b6796c7c603770c22c2 4f10b810f604c1b67e4eaa2d1e8ecaefaadb9a69
62b2e8335a6573f99323fc708416b04609b427c7 44afd617e01a9b2d68346cd21a01d9bc7e76d41e
630bdad718238984c1dba558f49fc94e52543d81 da2df166efcefedfce733440f1dda4fa5f9ea3d4
6415c81ac952180a15f939c16ac1014d51872e14 a7cd180abce8c398bce0a5500f5e1cfe2723222f
65afe37c49a889b148ac1e6cfcaf7b83976d12a3 82b1ce1d1d5526285fc48bd092a97801319667bc
67d70b7f0033b06e8b823537fd03faf64c042a4e a8e1be85be5ff9521485c783da6733e682347098
682b1a3d8200b3eb5fd3710f79e6d658c7f00e14 3f647900f22e6c1d479e6510b80ce4b01afeea63
69e9b2a944547c388ff86f22d1b888603ba8707d 3d3bc758621a77c165912168f6458c3f7b4de922
6dad246c7de1c988f7197bb4ab97542a25c89ef6 462be4e2fab05c20f867d444a03fe8e48e257604
6dc98354c85cb138428aa39c3e13b7be24eaec56 20daea744a0bbc7e12424d429bf6de2343c2b448
6f7cf9b6284e70f7381dd68e7f82ba1cb3c93e05 8d3fd37cf04c4e500b94580644ccc3ebd0bb7bab
71ec847506dab0b2ff6520700b2ecabf2ec3bdcc de97f808bf957415b74dacc71f8d4a31ba90394c
729846c90fb826c09d4083659fa738ea4d66adb4 da58a8b01f4730d79a619978a04ffe37c0f2adb6
75b930a53c208fb1d66ef2f16924c42bb9affcd3 ea3d6ad42e16f1f09320ffecd89fdc40faf3e847
76386e6be0538923c7e762fdf933116575e620ab bc2a9a911aa7a3e42137cd15938c09d08fdc4285
785ef31c984af7eb9c4f28856163cea6f7a0f59f 2a28722d31437b3aafadc4e108e330929034b9fa
786134a5442da1fa7f2cbc072ff9863851f2ea1c 9c5a6534b26553375b34407e2f6c54677f836cd3
7970d170d736c3695934e28c866eaeebdfff59d3 ee64954fde21a72bfa30d186dd274bb6cbfafc0f
798c3799ab1dc5d3a6a8fdef75afd22fce5c3a3b 66d29435dad18737971124ddf976c6778dba7ac1
7b5cb4fc51dacbbed6fad4be125174a943d4f5e4 bb9767adb542a63f6e6c263d06db4104bb2281ab
7b9c1fb01b603f4e5388d4b6b2343a8cb674435a a17e5ee1d466007e3f4c1ba86dbecd9afd8622c9
7cf0cf5f13ec3b8bc1c26fc35074cadd21c3342b a35129fa11dfc8350c6f42232d691e4aa641db28
7d018397d0929d83d2639082858019bd4ada5c24 4d8de5f4ee5c67310773ee3aff869d531202f287
7e1ef28302d2a4f8963921e0ba819000380d1c71 85dc1a5c450197292571170d290250b4bba914c8
7ec6970c8a24ef1165e02ba1a447f88247d7054e e74c16df1ea18d9b78fc4f9a8f1351aa6fac9f80
7f16c30dcafc037002cf2ee9cacfc27128818e50 7f16c30dcafc037002cf2ee9cacfc27128818e50
7f48823927bfab19883400f55ecc9ffbffeea8cb db289271ac9407f9be61b03f36355d9d8d988718
7f7f16a57349b5cde236602f548e2d96582b8ce4 2e32d27d60d64830b2fb6b71cb08babe077ba4a6
7f9395a0d5aa451c2548dd5a9387493c2e13b604 7f9395a0d5aa451c2548dd5a9387493c2e13b604
